0
Terminal
Terminal
ACLineSegment
ACLineSegment
ACLineSegments
Measurements
multiplier
multiplier
unit
multiplier
unit
multiplier
unit
ActivityRecords
AdjacentCASet
AdjacentCASet
multiplier
unit
AggregateNode
RTO
AggregateNode
RegisteredResource
AggregateNode
SubControlArea
AggregatedPnode
AggregatedPnode
AirCompressor
RegisteredResource
AllocationResultValues
AnalogValue
LimitSets
AnalogValue
LimitSet
Limits
Measurements
AnalyticScore
Asset
AssetGroup
AnalyticScore
multiplier
unit
multiplier
unit
multiplier
unit
normalValue
value
multiplier
unit
TACArea
AreaLoadCurve
SubControlArea
Analytic
AnalyticScore
AssetGroup
Asset
Asset
Asset
Measurements
Asset
Asset
Asset
Asset
Assets
Assets
Assets
Assets
kind
status
Assets
Asset
TestStandard
Asset
Analytic
kind
Analytic
Assets
PowerSystemResources
ProductAssetModel
AssetInfo
kind
status
AssetModelCatalogueItems
Assets
Ownerships
Assets
AssetPropertyCurves
TestStandard
kind
kind
AsynchronousMachineDynamics
AsynchronousMachineDynamics
AsynchronousMachineDynamics
rr1
rr2
xlr1
xlr2
xm
tpo
tppo
xp
xpp
xs
kind
MarketDocument
TimeSeries
Documents
Terminal
AuxillaryValues
BankAccounts
BaseVoltage
BaseVoltage
BaseVoltage
kind
VoltageLevel
multiplier
unit
Bid
Bid
Bid
Bid
marketType
PnodeDistributionFactor
BidError
ProductBid
MarketProduct
marketType
ProductBid
BidSchedule
AdjacentCASet
HostControlArea
BidSelfSched
ProductBid
BidSelfSched
SubControlArea
BidSelfSched
BidSelfSched
bidType
BilateralExchangeActor
MktUserAttribute
p
Terminal
TopologicalNode
Terminal
ratedCurrent
ratedVoltage
Bushing
status
Works
status
Delay
CSCtype1
Delay
standardEdition
standardNumber
CongestionRevenueRight
kind
status
CongestionRevenueRight
amount
ProprietaryParameterDynamics
CCAinverter
CCArectifierControl
CSCtype1
CSCtype1
CombustionTurbine
status
CompatibleUnits
status
CompatibleUnits
status
status
CompatibleUnits
status
CompatibleUnits
status
CompatibleUnits
status
CalculationMethodHierarchy
CalculationMethodOrder
WorkTasks
status
validityInterval
multiplier
unit
multiplier
unit
electronicAddress
AssetInfo
CompatibleUnits
TypeAsset
ProductAssetModel
CatalogAssetType
kind
quantity
AuxiliaryAccounts
Charges
Charges
kind
ChargeComponents
MktUserAttribute
Bid
ChargeProfileData
BillDeterminant
ChargeProfile
ChargeType
MktUserAttribute
Tender
kind
ACLineSegment
Clamp
kind
multiplier
unit
ClassificationCondition
kind
kind
AggregateNode
HostControlArea
CnodeDistributionFactor
SubControlArea
direction
CombinedCycleConfiguration
MktCombinedCyclePlant
ThermalGeneratingUnits
RegisteredResource
Commitments
updateType
MarketProduct
Pnode
RTO
CommodityDefinition
CommodityPrice
CULaborItems
CUMaterialItems
CompatibleUnits
DesignLocationCUs
Procedures
CompatibleUnits
ModelPartVersion
CompleteModelToBeDeleted
kind
ratedVoltage
DesignLocationCUs
ConditionFactors
ConditionFactors
kind
status
multiplier
unit
multiplier
unit
BaseVoltage
ConductingEquipment
ConductingEquipment
ConfigurationEvents
ConfigurationEvents
ConfigurationEvents
ConfigurationEvents
ConfigurationEvents
ConfigurationEvents
Switches
Terminals
TopologicalNode
TopologicalNode
ConnectivityNodeContainer
TimeSeries
Flowgate
ConstraintResults
updateType
SecurityConstraintSum
ReadingType
ConsumptionTariffIntervals
MktContingency
SecurityConstraintSum
Flowgate
RegisteredResource
ContractDistributionFactor
TransmissionContractRight
ContractDistributionFactor
RTO
TransmissionContractRight
TransmissionContractRight
ContractorItems
bidAmount
status
PowerSystemResource
Control
EnergyGroup
RegisteredResource
SubControlArea
Controls
Reconditionings
Locations
multiplier
unit
multiplier
unit
multiplier
unit
multiplier
unit
status
Crafts
status
Crew
Location
Crew
Outage
Crew
Crew
Crew
WorkTasks
Crews
status
Crew
Crews
multiplier
unit
normalValue
value
InternalControlArea
accuracyLimit
ratedCurrent
Customer
ErpPersons
Customer
Customer
Works
kind
priority
status
Customer
CustomerAgreements
CustomerAccount
PaymentTransactions
Customer
CustomerAccount
CustomerAgreements
CustomerAgreement
ServiceSupplier
CustomerAgreements
kind
CustomerNotifications
TroubleTickets
Cut
lengthFromTerminal1
kind
DCTerminals
DCTerminals
ProtectiveActionAdjustment
DCConductingEquipment
ratedUdc
DCTopologicalNode
r
inductance
length
DCTopologicalNode
inductance
resistance
capacitance
resistance
DCConductingEquipment
DCEquipmentContainer
DCNodes
DCTerminals
Delay
VSCtype1
DCvoltageControl
EndDeviceGroup
EndDeviceGroup
DispatchSchedule
DERMonitorableParameter
EndDeviceGroup
DERMonitorableParameter
standardEdition
standardNumber
multiplier
unit
AlternateModel
ModelPartVersion
Dataset
MarketDocument
TimeSeries
multiplier
unit
RegisteredResource
bidType
SecurityConstraintSum
IdcInverterControl
validityInterval
DesignLocations
Designs
Designs
WorkCostDetails
WorkTasks
kind
DesignLocationCUs
ErpBomItemDatas
status
CompatibleUnits
DesignLocation
WorkTasks
status
phaseCode
Diagram
DiagramObjectPoints
ProprietaryParameterDynamics
ValueAliasSet
RegisteredResource
DERCurveData
