,Ontology,BERT_Sim
0,SAREF4BLDG,0.0
1,SAREF4ENER,8.231
2,SAREF4GRID,10.33
3,SARGON,6.471
4,SBEO,36.374
5,SSN,16.839
6,CIM,0.0
7,EM-KPI,46.173
8,FSO,34.309
