,Ontology,BERT_Sim
0,SAREF4BLDG,2.652
1,SAREF4ENER,144.539
2,SAREF4GRID,105.874
3,SARGON,183.106
4,SBEO,568.62
5,SSN,353.627
6,CIM,60.807
7,EM-KPI,1403.732
8,FSO,477.327
