,Ontology,BERT_Sim
0,SAREF4BLDG,376.297
1,SAREF4ENER,649.448
2,SAREF4GRID,379.714
3,SARGON,491.231
4,SBEO,1596.813
5,SSN,1410.862
6,CIM,175.247
7,EM-KPI,6902.005
8,FSO,1353.086
