,Ontology,BERT_Sim
0,SAREF4BLDG,794.839
1,SAREF4ENER,1090.904
2,SAREF4GRID,887.751
3,SARGON,848.747
4,SBEO,2540.685
5,SSN,2763.204
6,CIM,217.563
7,EM-KPI,18253.307
8,FSO,2062.137
