,Ontology,BERT_Sim
0,SAREF4BLDG,0.0
1,SAREF4ENER,5.73
2,SAREF4GRID,3.746
3,SARGON,4.0
4,SBEO,22.441
5,SSN,3.742
6,CIM,0.0
7,EM-KPI,17.504
8,FSO,12.156
