,Ontology,BERT_Sim
0,SAREF4BLDG,55.157
1,SAREF4ENER,370.135
2,SAREF4GRID,193.778
3,SARGON,319.205
4,SBEO,1068.281
5,SSN,768.737
6,CIM,129.969
7,EM-KPI,3505.438
8,FSO,898.496
