,Ontology,BERT_Sim
0,SAREF4BLDG,0.0
1,SAREF4ENER,4.0
2,SAREF4GRID,2.0
3,SARGON,4.0
4,SBEO,18.909
5,SSN,2.0
6,CIM,0.0
7,EM-KPI,8.0
8,FSO,6.918
