,Ontology,BERT_Sim
0,SAREF4BLDG,726.026
1,SAREF4ENER,904.112
2,SAREF4GRID,623.078
3,SARGON,684.576
4,SBEO,2135.173
5,SSN,2177.156
6,CIM,199.373
7,EM-KPI,12065.762
8,FSO,1748.428
