,Ontology,BERT_Sim
0,SAREF4BLDG,0.0
1,SAREF4ENER,45.088
2,SAREF4GRID,60.287
3,SARGON,68.704
4,SBEO,246.155
5,SSN,109.303
6,CIM,13.841
7,EM-KPI,436.798
8,FSO,217.65
